,dim,best_val
0,3,5.891958760886472e-135
1,3,3.9750092396899555e-135
2,3,2.112281970994696e-134
3,3,2.3282123982176343e-136
4,3,5.9102046979697e-135
5,3,1.7745310598443565e-131
6,3,1.262176370437662e-135
7,3,9.932628756288581e-133
8,3,1.3667530215361615e-132
9,3,1.0785583823245057e-134
10,3,1.990554091438775e-133
11,3,2.558292464605062e-137
12,3,6.545039387598232e-133
13,3,8.341719944653492e-135
14,3,1.882719156372004e-136
15,3,3.222517780474217e-137
16,3,4.3619821378186024e-132
17,3,4.4050122627204e-132
18,3,7.993839536781097e-133
19,3,7.869231935054824e-138
20,3,1.4839736300676944e-134
21,3,2.5005659694142703e-132
22,3,3.4464120415003933e-133
23,3,4.693921063772469e-137
24,3,5.434944672740737e-134
25,5,3.8295835644405906e-72
26,5,8.371416615269316e-72
27,5,9.12672795247524e-71
28,5,4.986604072249926e-74
29,5,1.1558703238031448e-71
30,5,1.0164808475614702e-73
31,5,1.2989824668790945e-72
32,5,1.1505094721720867e-72
33,5,8.477011893029014e-75
34,5,3.6975325980268465e-71
35,5,4.414256872069271e-72
36,5,1.4393515246138313e-72
37,5,4.036219200453084e-72
38,5,1.4221815490767684e-72
39,5,3.6169626994586485e-72
40,5,4.824227068480521e-73
41,5,5.981082880736685e-74
42,5,7.78639412852475e-75
43,5,3.0786736735221514e-70
44,5,1.4693524355997234e-73
45,5,4.206023733683444e-72
46,5,2.900585595539146e-72
47,5,1.9046615143437325e-73
48,5,1.5888717132088535e-73
49,5,5.698403881179725e-72
50,10,3.0237078734328063e-37
51,10,8.963778618329697e-38
52,10,1.5538015096133216e-36
53,10,3.841164645095539e-37
54,10,7.619490742019128e-38
55,10,3.691846833715143e-36
56,10,3.576171091889075e-37
57,10,1.1272269820412695e-36
58,10,6.63857671831808e-36
59,10,5.44933931251942e-37
60,10,3.060993575130987e-37
61,10,2.617342102528896e-36
62,10,2.2116123090549526e-36
63,10,5.983746889164885e-38
64,10,4.074365890992481e-37
65,10,2.565130272839306e-37
66,10,6.554501342553086e-37
67,10,9.926823084635695e-39
68,10,3.0746515835726994e-38
69,10,3.7443932986268e-36
70,10,5.3737883943824836e-36
71,10,1.6094932342735447e-37
72,10,6.561131836575216e-38
73,10,2.6158587544962505e-37
74,10,3.2055368448800877e-38
75,20,4.721270010853835e-20
76,20,8.036063559659775e-21
77,20,2.221368050949098e-20
78,20,6.245072771420507e-20
79,20,1.4661869097908954e-20
80,20,2.6792878522064205e-19
81,20,5.6815767826070165e-19
82,20,2.6173127644150915e-19
83,20,3.0523273038795466e-20
84,20,3.178059628302216e-19
85,20,3.794361789399775e-19
86,20,1.4432934052376593e-19
87,20,3.1084103066670005e-20
88,20,1.8874411287352338e-19
89,20,3.930023789015296e-20
90,20,2.9203281355174435e-19
91,20,8.73091686189323e-20
92,20,4.37285448922898e-19
93,20,4.977790111232508e-19
94,20,6.487649079898583e-19
95,20,1.522155722138386e-19
96,20,5.260913207743149e-19
97,20,9.448008706125697e-19
98,20,1.1563333580613869e-18
99,20,1.710329966453289e-18
100,50,1.1485117677297033e-08
101,50,2.5784365989867805e-09
102,50,4.9276897795016355e-09
103,50,6.765962245279515e-09
104,50,2.4777804209929632e-09
105,50,1.246543838242746e-08
106,50,6.811932253529283e-09
107,50,3.081368440560483e-09
108,50,1.917078731072324e-08
109,50,3.5459811446369134e-09
110,50,4.7495525331450676e-09
111,50,1.3171656242324695e-08
112,50,1.0002590266265977e-08
113,50,2.9811920782021753e-09
114,50,1.0305890689348105e-08
115,50,5.331231325948471e-09
116,50,3.7922574727567415e-09
117,50,5.541244659455118e-09
118,50,5.970241284160983e-09
119,50,2.8025496783958753e-09
120,50,1.8846752825788488e-08
121,50,3.302756767156295e-08
122,50,3.811126162750983e-08
123,50,3.284140018698854e-09
124,50,2.473046098914807e-08
125,70,1.2371633208570563e-07
126,70,2.8833601355324724e-07
127,70,2.854547400178472e-07
128,70,5.387027642242677e-07
129,70,1.2917056543774202e-07
130,70,3.5735732926303996e-07
131,70,3.719921676031392e-07
132,70,2.888280212691592e-07
133,70,2.0352031471856151e-07
134,70,5.602627141699163e-07
135,70,7.90325900215936e-08
136,70,2.447615019764027e-06
137,70,2.738588178706467e-07
138,70,2.3818565221222357e-07
139,70,4.92835439794982e-07
140,70,5.275913211411811e-07
141,70,3.378930270446204e-07
142,70,3.219602332239114e-07
143,70,4.738553828977515e-07
144,70,2.6496456709254206e-07
145,70,3.517434431512327e-07
146,70,3.344622931169643e-07
147,70,8.1627887645687e-07
148,70,2.827269192842519e-07
149,70,6.700409027019919e-07
