"dim","best_val"
3,1.87385981838941e-144
3,7.7145732640497e-141
3,1.21874545187399e-142
3,2.2767665401308e-142
3,6.62668147668303e-144
3,5.1615410165729e-146
3,1.13365937983772e-145
3,2.19619321293214e-142
3,3.38731303290149e-142
3,1.07913411768792e-142
3,3.48838166033672e-144
3,1.53024460465973e-141
3,6.00645752680379e-144
3,1.70692779638836e-145
3,8.43589811973143e-145
3,1.07182788382027e-146
3,3.83079649266715e-140
3,5.87266392096952e-143
3,9.32064252666812e-145
3,2.15382994171012e-143
3,6.00099219741245e-143
3,1.57022732092346e-143
3,4.19825505368899e-144
3,3.15959096242622e-146
3,9.51608121247603e-143
5,3.60672905386453e-82
5,3.46842895305622e-81
5,7.81534827638821e-82
5,3.76712813415734e-83
5,1.53252214870194e-82
5,1.94601027078978e-81
5,1.42470674379168e-80
5,6.80963400007868e-84
5,2.07866223319634e-82
5,4.85941747389057e-84
5,3.21608566046488e-81
5,8.44894698654543e-85
5,1.73260569129774e-83
5,7.85374542092809e-85
5,6.75356977458733e-82
5,1.14049201722837e-86
5,2.48100450113362e-83
5,3.22243974541608e-81
5,1.01858491750056e-82
5,3.19059012322288e-83
5,1.22490581776404e-83
5,1.47266317390419e-82
5,2.08510343538429e-81
5,1.94962018068729e-80
5,1.73653447591292e-80
10,1.67485617674492e-53
10,9.25663111333787e-57
10,8.78638016165489e-58
10,9.45142793858144e-53
10,7.38949868774763e-54
10,4.87441045585286e-55
10,1.44813607636257e-55
10,1.04142211641049e-53
10,3.11671207431536e-52
10,1.64010049258254e-52
10,1.59076671764593e-50
10,2.37089136210372e-54
10,3.03034528830578e-54
10,5.75921514915901e-50
10,1.56243193940316e-57
10,1.32884454995001e-53
10,3.0672560527478e-55
10,1.29141933305495e-54
10,3.63096990122936e-57
10,3.16932238476396e-51
10,6.42453811840335e-53
10,1.81897097726132e-52
10,7.30174816236352e-53
10,6.02394693217833e-53
10,1.03891701834703e-46
20,5.73023421372293e-33
20,1.51952528722125e-36
20,6.58026656141222e-36
20,4.9158833960236e-35
20,8.10401552663795e-35
20,2.64821843626464e-35
20,8.59136895318456e-36
20,1.53125857756823e-37
20,2.55017234653699e-38
20,1.75770652149256e-34
20,8.73709017180205e-37
20,2.28121617255818e-33
20,3.5603950005618e-35
20,6.94862082604833e-35
20,9.63700144218908e-38
20,2.40787764129603e-36
20,3.12115669704443e-38
20,1.89862335698598e-34
20,6.49719768754102e-35
20,3.04208617445547e-36
20,4.40444323290154e-36
20,4.2690436557988e-36
20,4.7142368399295e-36
20,1.04401004287658e-36
20,5.32461584708033e-36
50,0.333838737621058
50,0.0741507832089598
50,0.479916688951122
50,1.0193115964242
50,0.796887200634594
50,0.196031120590594
50,0.466819540528462
50,0.118671172293159
50,0.133002008956286
50,0.300350153205071
50,0.256892283572006
50,0.0420358240570649
50,0.224548992188964
50,0.12512511908186
50,0.234744766778577
50,0.102174868047843
50,0.106247489853828
50,2.2690712431216
50,0.433446366526765
50,3.95879668018991
50,0.0207394420458136
50,0.253523926243121
50,0.515640402801077
50,0.335010868941829
50,0.550727643962634
70,1086896.34221825
70,2321378.85208306
70,1556476.24432567
70,2357596.01676581
70,2230698.02660975
70,2038349.24903627
70,3346152.40301904
70,2157643.38501912
70,2341802.26298446
70,1136882.15947223
70,4566852.76847526
70,2482544.23623348
70,1419742.32593984
70,1248358.72714494
70,1551094.22117968
70,2622744.4790538
70,2863565.92713798
70,2910267.76413329
70,1435485.49394966
70,2024846.60132213
70,2352649.18459424
70,2330827.97705978
70,1460053.79089229
70,3035524.49518653
70,3406601.46502394
