"Dim","R"
2,0.0035426516532898
4,0.00367632341384888
6,0.00368838500976563
8,0.0038037543296814
10,0.00393337631225586
12,0.00404525184631348
14,0.00442013740539551
16,0.00435250473022461
18,0.00429816436767578
20,0.00458171939849854
22,0.00461545562744141
24,0.00466948556900024
26,0.00482124805450439
28,0.0050408411026001
30,0.00520791149139404
32,0.00519432735443115
34,0.00551923322677612
36,0.00572668409347534
38,0.00578641891479492
40,0.00595632123947144
42,0.00616353034973145
44,0.00634129571914673
46,0.0067983546257019
48,0.00671408128738403
50,0.00694360589981079
52,0.00718278646469116
54,0.00739071416854858
56,0.00755188798904419
58,0.00770226430892944
60,0.00790710735321045
62,0.00841763353347778
64,0.00866683292388916
66,0.00891023826599121
68,0.00913364458084107
70,0.00962370014190674
