"Dim","R"
2,0.00422885036468506
4,0.00358432912826538
6,0.00365609407424927
8,0.00383773136138916
10,0.0039534740447998
12,0.00404686498641968
14,0.00409716558456421
16,0.0042444896697998
18,0.00440220212936401
20,0.00449224090576172
22,0.00464455223083496
24,0.00465366744995117
26,0.00473104906082153
28,0.00495883846282959
30,0.00510047054290771
32,0.00526219701766968
34,0.00556330442428589
36,0.00565888452529907
38,0.00592505598068237
40,0.00597988176345825
42,0.0062072606086731
44,0.00642765617370606
46,0.00648297309875488
48,0.0066826810836792
50,0.00694253349304199
52,0.00718685817718506
54,0.00744021701812744
56,0.00758577108383179
58,0.00777566814422607
60,0.00809229183197021
62,0.00828233051300049
64,0.0085988826751709
66,0.00890418720245361
68,0.00927902507781983
70,0.00951843357086182
