"Dim","R"
2,0.00104237874348958
4,0.00124664942423503
6,0.00166656335194906
8,0.00173021078109741
10,0.00197110414505005
12,0.00187569379806519
14,0.00255149284998576
16,0.00282564878463745
18,0.00294245481491089
20,0.00298545122146606
22,0.00335210005442301
24,0.00358863751093547
26,0.00383791208267212
28,0.00435707171758016
30,0.00411104122797648
32,0.00506439844767253
34,0.0051306406656901
36,0.00519753774007162
38,0.00536319573720296
40,0.00526828209559123
42,0.00617693026860555
44,0.0060281777381897
46,0.00659302473068237
48,0.00618106842041016
50,0.00636140902837117
52,0.00613523085912069
54,0.00725708961486817
56,0.00711631139119466
58,0.00804674784342448
60,0.00819425423940023
62,0.00797958930333455
64,0.00835596640904744
66,0.00896819512049357
68,0.00968447128931681
70,0.00885692596435547
